_FieldNrShort,_FieldNr,_PlantNr,_Rec_id,iv_id,Flw_dt,Sex_cm,SexRev_dt,SSet_dt,_PlotComments,_pi_pd_SubLocation,_WhoObserved,GrowerName,GrowerLocation,_DateObserved,_HarvestNr,_DateHarvested,_ObservationNr,_BookComments,GCEntryID,GCExportID
129544,B24_129544,1,279758128,278580593,11/20/2024,53333,11/27/2024,12/03/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-0,596f2c859df94355bdc2e3c1d43668e4-0
129544,B24_129544,2,279758129,278580593,11/19/2024,52222,11/27/2024,12/04/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-1,596f2c859df94355bdc2e3c1d43668e4-0
129544,B24_129544,3,279758130,278580593,11/20/2024,53222,11/27/2024,12/04/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-2,596f2c859df94355bdc2e3c1d43668e4-0
129547,B24_129547,1,279758131,278580600,11/20/2024,54422,11/27/2024,12/03/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-3,596f2c859df94355bdc2e3c1d43668e4-0
129547,B24_129547,2,279758132,278580600,11/15/2024,55555,,,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-4,596f2c859df94355bdc2e3c1d43668e4-0
129641,B24_129641,1,279758133,278582411,11/20/2024,55555,,,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-5,596f2c859df94355bdc2e3c1d43668e4-0
129641,B24_129641,2,279758134,278582411,11/15/2024,55555,,,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-6,596f2c859df94355bdc2e3c1d43668e4-0
129641,B24_129641,3,279758135,278582411,11/20/2024,55555,,,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-7,596f2c859df94355bdc2e3c1d43668e4-0
129641,B24_129641,4,279758136,278582411,11/19/2024,55555,,,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-8,596f2c859df94355bdc2e3c1d43668e4-0
129724,B24_129724,1,279758137,278584528,12/18/2024,55544,01/03/2025,01/07/2025,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-9,596f2c859df94355bdc2e3c1d43668e4-0
129724,B24_129724,2,279758138,278584528,12/20/2024,55222,01/02/2025,01/07/2025,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-a,596f2c859df94355bdc2e3c1d43668e4-0
129724,B24_129724,3,279758139,278584528,12/23/2024,55555,,01/15/2025,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-b,596f2c859df94355bdc2e3c1d43668e4-0
129748,B24_129748,1,279758140,278574781,12/03/2024,5555,12/30/2024,,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-c,596f2c859df94355bdc2e3c1d43668e4-0
129748,B24_129748,2,279758141,278574781,11/27/2024,55311,12/12/2024,,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-d,596f2c859df94355bdc2e3c1d43668e4-0
129748,B24_129748,3,279758142,278574781,12/02/2024,5554,12/22/2024,12/23/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-e,596f2c859df94355bdc2e3c1d43668e4-0
129748,B24_129748,4,279758143,278574781,12/04/2024,5555,,,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-f,596f2c859df94355bdc2e3c1d43668e4-0
129762,B24_129762,1,279758144,278575310,12/18/2024,55554,01/15/2025,,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-10,596f2c859df94355bdc2e3c1d43668e4-0
129762,B24_129762,2,279758145,278575310,12/18/2024,55554,01/14/2025,01/15/2025,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-11,596f2c859df94355bdc2e3c1d43668e4-0
129762,B24_129762,3,279758146,278575310,12/18/2024,55322,12/30/2024,01/07/2025,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-12,596f2c859df94355bdc2e3c1d43668e4-0
129762,B24_129762,4,279758147,278575310,12/25/2024,55555,,01/15/2025,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-13,596f2c859df94355bdc2e3c1d43668e4-0
129762,B24_129762,5,279758148,278575310,12/30/2024,5522,01/10/2025,01/15/2025,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-14,596f2c859df94355bdc2e3c1d43668e4-0
129792,B24_129792,1,279758149,278575713,12/14/2024,55544,01/04/2025,12/29/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-15,596f2c859df94355bdc2e3c1d43668e4-0
129792,B24_129792,2,279758150,278575713,12/03/2024,55544,12/22/2024,12/23/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-16,596f2c859df94355bdc2e3c1d43668e4-0
129792,B24_129792,3,279758151,278575713,12/02/2024,55543,12/22/2024,12/23/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-17,596f2c859df94355bdc2e3c1d43668e4-0
129792,B24_129792,4,279758152,278575713,12/16/2024,55544,01/08/2025,01/14/2025,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-18,596f2c859df94355bdc2e3c1d43668e4-0
129883,B24_129883,1,279758153,278577341,01/08/2025,5,,,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-19,596f2c859df94355bdc2e3c1d43668e4-0
129883,B24_129883,2,279758154,278577341,12/23/2024,55544,01/14/2025,01/15/2025,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-1a,596f2c859df94355bdc2e3c1d43668e4-0
129883,B24_129883,3,279758155,278577341,12/02/2024,43111,,12/23/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-1b,596f2c859df94355bdc2e3c1d43668e4-0
129883,B24_129883,4,279758156,278577341,01/08/2025,55,,,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-1c,596f2c859df94355bdc2e3c1d43668e4-0
130025,B24_130025,1,279758157,278579271,12/29/2024,5555,,,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-1d,596f2c859df94355bdc2e3c1d43668e4-0
130025,B24_130025,2,279758158,278579271,12/29/2024,5554,01/22/2025,01/19/2025,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-1e,596f2c859df94355bdc2e3c1d43668e4-0
130025,B24_130025,3,279758159,278579271,12/30/2024,5555,,01/22/2025,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-1f,596f2c859df94355bdc2e3c1d43668e4-0
130036,B24_130036,1,279758160,278579617,12/12/2024,55554,01/07/2025,01/08/2025,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-20,596f2c859df94355bdc2e3c1d43668e4-0
130036,B24_130036,2,279758161,278579617,12/12/2024,55544,12/29/2024,12/30/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-21,596f2c859df94355bdc2e3c1d43668e4-0
130039,B24_130039,1,279758162,278579635,12/23/2024,55544,01/15/2025,01/21/2025,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-22,596f2c859df94355bdc2e3c1d43668e4-0
130039,B24_130039,2,279758163,278579635,12/02/2024,54443,12/12/2024,12/15/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-23,596f2c859df94355bdc2e3c1d43668e4-0
130039,B24_130039,3,279758164,278579635,12/17/2024,55553,01/11/2025,01/14/2025,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-24,596f2c859df94355bdc2e3c1d43668e4-0
130039,B24_130039,4,279758165,278579635,12/02/2024,32111,,12/12/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-25,596f2c859df94355bdc2e3c1d43668e4-0
130039,B24_130039,5,279758166,278579635,12/15/2024,5554,01/07/2025,,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-26,596f2c859df94355bdc2e3c1d43668e4-0
130045,B24_130045,1,279758167,278579661,11/27/2024,52211,12/02/2024,12/18/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-27,596f2c859df94355bdc2e3c1d43668e4-0
130045,B24_130045,2,279758168,278579661,11/27/2024,43111,,12/23/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-28,596f2c859df94355bdc2e3c1d43668e4-0
130045,B24_130045,3,279758169,278579661,11/27/2024,33111,,12/23/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-29,596f2c859df94355bdc2e3c1d43668e4-0
130045,B24_130045,4,279758170,278579661,11/27/2024,53311,12/03/2024,12/22/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-2a,596f2c859df94355bdc2e3c1d43668e4-0
130047,B24_130047,1,279758171,278579670,11/15/2024,55432,12/03/2024,12/17/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-2b,596f2c859df94355bdc2e3c1d43668e4-0
130047,B24_130047,2,279758172,278579670,11/19/2024,54442,11/27/2024,11/27/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-2c,596f2c859df94355bdc2e3c1d43668e4-0
130047,B24_130047,3,279758173,278579670,11/27/2024,55322,,12/17/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-2d,596f2c859df94355bdc2e3c1d43668e4-0
130047,B24_130047,4,279758174,278579670,11/20/2024,53331,11/27/2024,12/15/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-2e,596f2c859df94355bdc2e3c1d43668e4-0
130063,B24_130063,1,279758175,278580157,11/27/2024,55555,,12/23/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-2f,596f2c859df94355bdc2e3c1d43668e4-0
130063,B24_130063,2,279758176,278580157,11/21/2024,55554,12/17/2024,12/18/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-30,596f2c859df94355bdc2e3c1d43668e4-0
130063,B24_130063,3,279758177,278580157,12/03/2024,55555,,,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-31,596f2c859df94355bdc2e3c1d43668e4-0
130063,B24_130063,4,279758178,278580157,11/27/2024,55554,12/22/2024,12/18/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-32,596f2c859df94355bdc2e3c1d43668e4-0
130063,B24_130063,5,279758179,278580157,12/04/2024,55555,,,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-33,596f2c859df94355bdc2e3c1d43668e4-0
130075,B24_130075,1,279758180,278580565,12/18/2024,22221,12/26/2024,01/15/2025,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-34,596f2c859df94355bdc2e3c1d43668e4-0
130075,B24_130075,2,279758181,278580565,12/23/2024,55544,01/14/2025,01/15/2025,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-35,596f2c859df94355bdc2e3c1d43668e4-0
130075,B24_130075,3,279758182,278580565,,,,,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-36,596f2c859df94355bdc2e3c1d43668e4-0
130075,B24_130075,4,279758183,278580565,12/23/2024,55533,01/11/2025,01/14/2025,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-37,596f2c859df94355bdc2e3c1d43668e4-0
130089,B24_130089,1,279758184,278580965,11/27/2024,55555,,12/18/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-38,596f2c859df94355bdc2e3c1d43668e4-0
130089,B24_130089,2,279758185,278580965,12/02/2024,5422,12/11/2024,12/15/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-39,596f2c859df94355bdc2e3c1d43668e4-0
130089,B24_130089,3,279758186,278580965,11/27/2024,55322,12/11/2024,12/15/2024,,Pe14,,,,01/30/2025,,,,,596f2c859df94355bdc2e3c1d43668e4-0-3a,596f2c859df94355bdc2e3c1d43668e4-0
